iter	Passed	Remaining
422	2163	2951
423	2167	2944
424	2171	2937
425	2176	2932
426	2180	2925
427	2184	2918
428	2188	2912
429	2192	2906
430	2196	2900
431	2200	2893
432	2204	2886
433	2208	2880
434	2212	2873
435	2216	2866
436	2220	2860
437	2225	2854
438	2229	2849
439	2233	2843
440	2238	2838
441	2242	2831
442	2246	2824
443	2250	2818
444	2255	2812
445	2259	2806
446	2263	2799
447	2266	2793
448	2271	2787
449	2275	2781
450	2279	2774
451	2283	2767
452	2287	2762
453	2290	2755
454	2295	2749
455	2299	2742
456	2303	2737
457	2307	2730
458	2311	2724
459	2314	2717
460	2319	2711
461	2323	2705
462	2327	2699
463	2331	2693
464	2335	2687
465	2339	2681
466	2343	2674
467	2346	2667
468	2351	2662
469	2355	2656
470	2360	2650
471	2364	2644
472	2368	2639
473	2372	2632
474	2376	2626
475	2379	2619
476	2384	2614
477	2388	2608
478	2392	2601
479	2395	2595
480	2400	2590
481	2404	2583
482	2408	2577
483	2412	2571
484	2416	2566
485	2420	2559
486	2424	2553
487	2428	2547
488	2432	2542
489	2437	2536
490	2441	2530
491	2446	2526
492	2450	2520
493	2454	2514
494	2458	2507
495	2463	2502
496	2466	2496
497	2470	2490
498	2474	2484
499	2478	2478
500	2482	2473
501	2486	2466
502	2490	2461
503	2495	2455
504	2499	2449
505	2504	2444
506	2508	2439
507	2512	2433
508	2516	2427
509	2520	2421
510	2523	2415
511	2528	2409
512	2533	2404
513	2536	2398
514	2542	2394
515	2546	2388
516	2550	2382
517	2553	2376
518	2558	2371
519	2562	2365
520	2566	2359
521	2570	2353
522	2575	2348
523	2578	2342
524	2582	2336
525	2586	2330
526	2591	2326
527	2595	2320
528	2599	2314
529	2603	2308
530	2608	2303
531	2612	2298
532	2616	2292
533	2620	2286
534	2624	2280
535	2628	2275
536	2632	2269
537	2636	2263
538	2640	2258
539	2643	2251
540	2647	2246
541	2650	2240
542	2655	2234
543	2658	2228
544	2662	2222
545	2666	2216
546	2670	2211
547	2674	2205
548	2677	2199
549	2681	2193
550	2686	2188
551	2689	2183
552	2693	2177
553	2697	2171
554	2701	2166
555	2705	2160
556	2709	2154
557	2713	2149
558	2718	2144
559	2721	2138
560	2725	2132
561	2729	2126
562	2734	2122
563	2738	2117
564	2743	2112
565	2747	2107
566	2752	2101
567	2756	2096
568	2759	2090
569	2763	2085
570	2767	2079
571	2771	2073
572	2775	2068
573	2779	2062
574	2783	2057
575	2787	2051
576	2790	2045
577	2794	2040
578	2799	2035
579	2802	2029
580	2806	2023
581	2810	2018
582	2815	2013
583	2818	2007
584	2822	2002
585	2826	1996
586	2830	1991
587	2834	1986
588	2838	1980
589	2842	1975
