iter	RMSE
435	38396.59291
436	38379.60985
437	38362.90679
438	38351.22923
439	38331.87486
440	38312.84501
441	38301.14882
442	38293.43704
443	38275.32949
444	38259.80942
445	38237.3363
446	38222.09678
447	38208.66092
448	38192.12178
449	38175.18672
450	38160.16903
451	38138.97996
452	38114.83621
453	38103.20428
454	38079.25543
455	38064.32822
456	38044.93311
457	38027.74496
458	38013.17937
459	37996.34568
460	37983.02083
461	37967.61222
462	37949.49985
463	37932.74019
464	37922.67856
465	37902.55787
466	37877.97407
467	37868.13599
468	37857.96986
469	37840.0963
470	37826.54938
471	37813.43129
472	37793.63535
473	37780.20974
474	37763.2534
475	37747.40767
476	37730.27133
477	37718.72818
478	37694.39372
479	37679.37649
480	37664.66522
481	37654.17423
482	37635.21018
483	37624.94244
484	37607.89583
485	37592.57567
486	37578.98863
487	37560.30989
488	37531.77595
489	37512.992
490	37502.59831
491	37488.39065
492	37478.66016
493	37460.53549
494	37438.7737
495	37425.35427
496	37405.24895
497	37380.92342
498	37370.44744
499	37355.10882
500	37343.48565
501	37330.01058
502	37314.57354
503	37304.32512
504	37287.43702
505	37278.53128
506	37258.85162
507	37243.5173
508	37230.57317
509	37212.50471
510	37202.99508
511	37192.9555
512	37174.74013
513	37167.03592
514	37146.29849
515	37126.93741
516	37115.44909
517	37097.76406
518	37070.55765
519	37060.66233
520	37048.64381
521	37032.73287
522	37012.80296
523	36996.83061
524	36981.22592
525	36951.01416
526	36942.62518
527	36929.09225
528	36917.04937
529	36901.78242
530	36882.45865
531	36866.46035
532	36854.98859
533	36843.66705
534	36836.08667
535	36827.36883
536	36817.27595
537	36803.93975
538	36789.1231
539	36780.93096
540	36763.58002
541	36753.04586
542	36732.19407
543	36719.25645
544	36698.82098
545	36686.79637
546	36677.47809
547	36668.35154
548	36650.1808
549	36632.48301
550	36617.6072
551	36594.57826
552	36578.98238
553	36557.0161
554	36540.82305
555	36529.74147
556	36515.45598
557	36502.17031
558	36485.55691
559	36473.2252
560	36465.92933
561	36454.47362
562	36435.56055
563	36418.31333
564	36406.23914
565	36387.38781
566	36373.54236
567	36361.08054
568	36349.78407
569	36336.19237
570	36318.18995
571	36307.46502
572	36291.71399
573	36279.71916
574	36264.73385
575	36252.2127
576	36235.11505
577	36223.80329
578	36215.88346
579	36199.61339
580	36184.51982
581	36165.91439
582	36154.71764
583	36140.27574
584	36130.95132
585	36118.45043
586	36101.50644
587	36085.75338
588	36078.47116
589	36062.52745
590	36039.3665
591	36026.8209
592	36021.4187
593	36013.21565
594	36003.21838
595	35991.42245
596	35984.05204
597	35961.81131
598	35945.38312
599	35931.23331
600	35923.30476
601	35917.74453
602	35895.31974
603	35876.99423
604	35854.58558
605	35842.24645
606	35817.93171
607	35801.3178
608	35782.99093
609	35772.32059
610	35762.07586
611	35746.01339
612	35733.27883
613	35723.366
614	35708.25797
615	35690.38634
616	35681.97986
617	35674.92268
618	35666.50417
619	35654.98965
620	35643.2006
621	35634.38506
622	35618.62062
623	35607.02133
624	35594.90228
625	35580.88993
626	35566.10288
627	35552.14581
628	35539.04908
629	35531.03611
630	35521.71944
631	35514.3594
632	35502.09197
633	35488.932
634	35471.12361
635	35453.50213
636	35445.12174
637	35429.27301
638	35415.08861
639	35399.15752
640	35384.29861
641	35364.08012
642	35353.48063
643	35342.70246
644	35336.2248
645	35326.40377
646	35314.44682
647	35303.57061
648	35292.57597
649	35276.77196
650	35264.47217
651	35257.41762
652	35243.39454
653	35235.80684
654	35221.7166
655	35206.28577
656	35188.93004
657	35175.70819
658	35162.48827
659	35151.50078
660	35137.0742
661	35122.31711
662	35106.1712
663	35094.91612
664	35083.9861
665	35076.77743
666	35066.5763
667	35055.98748
668	35043.27784
669	35033.5141
670	35019.04481
671	35008.32809
672	34995.82941
673	34979.18797
674	34959.42739
675	34948.64557
676	34929.87036
677	34918.67229
678	34907.25158
679	34897.10487
680	34887.05149
681	34872.33822
682	34854.42707
683	34838.58444
684	34822.45192
685	34811.96423
686	34800.11635
687	34788.86259
688	34782.16919
689	34774.37486
690	34761.72207
691	34748.0237
692	34733.50712
693	34715.11871
694	34706.90871
695	34689.7185
696	34674.54857
697	34661.38051
698	34649.68252
699	34639.11287
700	34629.0698
701	34613.0368
702	34606.08023
703	34588.69076
704	34578.46381
705	34569.95122
706	34555.93907
707	34540.4574
708	34523.44953
709	34505.44141
710	34498.46936
711	34489.09168
712	34474.27569
713	34467.0176
714	34451.51703
715	34440.6492
716	34429.52363
717	34418.38933
718	34406.33348
719	34398.86114
720	34386.00444
721	34380.79554
722	34371.89928
723	34361.26687
724	34348.61173
725	34331.93805
726	34326.32217
727	34314.75161
728	34306.05309
729	34290.44609
730	34284.85184
731	34274.22997
732	34263.42581
733	34256.4698
734	34245.04642
735	34240.71483
736	34235.58218
737	34228.10239
738	34215.30678
739	34200.6001
740	34188.76109
741	34172.28354
742	34161.54165
743	34149.71956
744	34137.96261
745	34125.83606
746	34112.1622
747	34105.10501
748	34093.43808
749	34070.98349
750	34061.52601
751	34047.02105
752	34036.60683
753	34024.63008
754	34019.08322
755	34007.03184
756	33996.20968
757	33990.40824
758	33980.2386
759	33966.78464
760	33955.82813
761	33947.31777
762	33935.66242
763	33923.99943
764	33916.67072
765	33900.38396
766	33892.31071
767	33882.39228
768	33872.33819
769	33857.28604
770	33846.17199
771	33831.25904
772	33819.03325
773	33807.56782
774	33794.27758
775	33774.18935
776	33760.05361
777	33745.11069
778	33736.73287
779	33731.22656
780	33717.35842
781	33702.99916
782	33692.18208
783	33681.41985
784	33677.24548
785	33666.01201
786	33655.08898
787	33646.00159
788	33635.03104
789	33629.02999
790	33616.56169
791	33605.73713
792	33596.17235
793	33585.53616
794	33578.92124
795	33568.91154
796	33558.90281
797	33548.53671
798	33541.13921
799	33530.91551
800	33523.78004
801	33518.95192
802	33505.54592
803	33493.09378
804	33481.2913
805	33465.69764
806	33454.66589
807	33445.06126
808	33427.07262
809	33418.30701
810	33405.33816
811	33388.75307
812	33381.29252
813	33371.82252
814	33358.896
815	33348.08594
816	33338.62036
817	33328.2693
818	33319.34209
819	33310.10232
820	33301.19862
821	33292.39033
822	33283.3739
823	33256.32388
824	33248.89962
825	33236.78662
826	33222.58884
827	33209.01786
828	33200.00806
829	33195.30058
830	33180.77396
831	33167.54471
832	33157.09724
833	33150.03756
834	33139.65215
835	33124.38637
836	33112.29027
837	33096.80363
838	33082.53527
839	33072.83929
840	33067.96442
841	33052.16244
842	33038.42482
843	33033.81026
844	33025.76064
845	33006.74931
846	32996.24534
847	32989.96363
848	32984.79945
849	32969.90702
850	32956.99864
851	32949.75556
852	32941.34468
853	32932.06129
854	32921.96557
855	32913.94217
856	32896.21207
857	32887.49389
858	32879.30133
859	32869.46699
860	32857.80382
861	32848.58386
862	32841.91333
863	32830.86049
864	32820.97335
865	32814.2929
866	32803.27952
867	32797.08832
868	32785.85093
869	32770.31321
870	32754.51309
871	32735.70695
872	32730.19503
873	32720.76128
874	32712.62974
875	32700.50868
876	32691.63549
877	32682.97116
878	32672.77846
879	32664.25333
880	32658.3532
881	32648.62715
882	32642.37767
883	32637.49417
884	32633.77323
885	32619.29595
886	32613.04804
887	32603.33708
888	32595.02908
889	32585.96931
890	32574.79693
891	32564.78988
892	32554.38567
893	32543.61268
894	32530.73929
895	32507.46495
896	32498.9262
897	32490.69553
898	32480.72514
899	32468.13043
900	32461.0143
901	32450.61505
902	32441.57608
903	32433.74296
904	32418.62042
905	32410.9734
906	32400.06452
907	32395.43861
908	32381.94371
909	32373.72733
910	32362.03503
911	32349.53188
912	32341.34025
913	32333.5728
914	32325.57448
915	32309.25516
916	32301.20694
917	32293.61239
918	32279.48748
919	32266.59104
920	32253.21188
921	32246.9125
922	32238.53031
923	32231.29527
924	32222.20044
925	32207.07132
926	32197.04944
927	32189.30206
928	32180.70723
929	32174.57065
930	32169.53453
931	32161.25213
932	32154.01151
933	32146.79872
934	32139.18282
935	32131.10066
936	32124.71287
937	32118.92024
938	32107.35431
939	32096.46514
940	32085.35286
941	32075.09956
942	32069.08138
943	32060.58895
944	32053.14949
945	32043.73484
946	32036.36151
947	32025.30796
948	32018.42982
949	32008.57103
950	31993.66052
951	31982.42371
952	31974.93962
953	31968.83802
954	31961.12399
955	31956.0115
956	31947.52732
957	31942.90976
958	31933.20057
959	31923.65566
960	31913.5259
961	31904.8345
962	31899.26397
963	31892.15538
964	31881.17917
965	31876.93792
966	31869.21378
967	31860.38147
968	31848.65892
969	31837.77885
970	31822.73196
971	31816.58726
972	31809.95324
973	31800.03565
974	31783.93292
975	31776.57406
976	31767.27015
977	31759.35202
978	31753.98211
979	31745.68621
980	31736.15068
981	31728.85745
982	31720.69286
983	31712.66891
984	31709.83058
985	31705.03131
986	31700.4786
987	31692.31278
988	31679.57281
989	31671.10725
990	31660.44991
991	31647.4674
992	31637.11111
993	31622.86906
994	31612.26763
995	31600.43791
996	31594.99909
997	31584.83163
998	31573.11508
999	31563.06726
